受试编号,组别,观看顺序,设计代号,内容类型,问答1得分,问答2得分,答对题数,正确率,获取信息效率_Q1,获取信息效率_Q2,获取信息效率_均值,可读性_Q1,可读性_Q2,可读性_均值,吸引力_Q1,吸引力_Q2,吸引力_均值,主观_综合评价,主观_总分,主观_总分均值,总注视时长_标题层,总注视时长_要点层,总注视时长_详情层,总注视时长_关键图片,注视次数_标题层,注视次数_要点层,注视次数_详情层,注视次数_关键图片,注视时长占比_标题层,注视时长占比_要点层,注视时长占比_详情层,注视时长占比_关键图片,首次注视时间_标题层,首次注视时间_要点层,首次注视时间_详情层,首次注视时间_关键图片,平均注视时长_标题层,平均注视时长_要点层,平均注视时长_详情层,平均注视时长_关键图片,平均瞳孔直径_mm,最小瞳孔直径_mm,最大瞳孔直径_mm,眨眼次数,平均眨眼频率_per_s,扫视次数,平均扫视频率_per_s,总扫视时间_s,平均眼跳水平距离_px,平均眼跳垂直距离_px,平均眼跳绝对距离_px
SIM018,组1,3,C,红耳鹎,0,5,1,0.5,2,3,2.5,4,2,3.0,2,3,2.5,4,20,2.86,2.332,5.333,1.159,6.727,12,24,4,23,8.06642,18.44692,4.009,23.26879,0.184,5.097,8.719,2.946,0.1943,0.2222,0.2898,0.2925,2.8466,2.2626,3.2456,2,0.0333,213,3.55,25.365,154.619,75.958,172.27
SIM018,组1,4,A,造山运动,5,5,2,1.0,1,3,2.0,3,3,3.0,2,4,3.0,3,19,2.71,5.481,1.98,5.654,0.706,21,7,20,3,32.99042,11.91772,34.03171,4.24945,6.961,12.923,4.885,9.375,0.261,0.2829,0.2827,0.2353,2.6021,2.2806,3.319,27,0.45,218,3.6333,26.056,226.386,77.179,239.18
SIM019,组1,1,C,红耳鹎,0,0,0,0.0,2,2,2.0,3,2,2.5,3,3,3.0,4,19,2.71,3.846,0.957,2.927,3.695,16,4,13,20,31.1771,7.7578,23.72735,29.95304,5.561,0.779,7.285,9.398,0.2404,0.2392,0.2252,0.1847,2.7155,2.4104,3.3771,20,0.3333,97,1.6167,18.725,183.605,102.189,210.127
SIM019,组1,2,A,造山运动,0,5,1,0.5,4,1,2.5,2,4,3.0,2,2,2.0,3,18,2.57,2.956,2.049,0.916,3.385,12,9,4,17,24.34693,16.87647,7.54458,27.88036,9.342,0.379,5.578,8.127,0.2463,0.2277,0.229,0.1991,2.9217,2.4922,3.5273,10,0.1667,147,2.45,18.66,123.561,111.177,166.216
SIM019,组1,3,F,红果仔,5,0,1,0.5,4,4,4.0,2,4,3.0,4,3,3.5,3,24,3.43,5.144,1.107,4.794,1.575,19,4,17,8,27.7869,5.9798,25.89627,8.50785,0.594,4.83,11.959,0.868,0.2707,0.2767,0.282,0.1969,2.6871,2.3819,3.3734,21,0.35,302,5.0333,18.693,228.779,149.652,273.378
SIM019,组1,4,Z,白鹈鹕(锚点),0,0,0,0.0,3,2,2.5,4,4,4.0,3,4,3.5,2,22,3.14,3.943,6.413,1.552,3.26,17,21,5,15,14.81458,24.09483,5.83115,12.24842,8.016,6.16,11.902,10.956,0.2319,0.3054,0.3104,0.2173,2.7642,2.3789,3.5085,5,0.0833,197,3.2833,10.232,153.064,100.594,183.161
SIM020,组1,1,F,红果仔,0,5,1,0.5,3,4,3.5,4,4,4.0,3,3,3.0,1,22,3.14,1.145,3.261,2.714,1.751,6,11,13,6,10.76038,30.64593,25.50538,16.45539,7.503,7.245,7.422,5.663,0.1908,0.2965,0.2088,0.2918,2.3333,1.9713,2.9955,26,0.4333,107,1.7833,26.003,234.49,106.917,257.715
SIM020,组1,2,Z,白鹈鹕(锚点),0,0,0,0.0,2,4,3.0,3,3,3.0,3,4,3.5,3,22,3.14,2.665,4.079,1.528,1.145,11,19,5,5,19.35022,29.61709,11.09461,8.3137,8.905,6.919,8.203,7.025,0.2423,0.2147,0.3056,0.229,2.4488,2.092,2.9721,0,0.0,287,4.7833,17.103,177.508,95.314,201.479
SIM020,组1,3,C,红耳鹎,0,5,1,0.5,4,2,3.0,3,4,3.5,3,3,3.0,4,23,3.29,5.258,1.186,4.75,2.72,23,5,18,15,26.90197,6.06804,24.30285,13.91658,7.904,6.137,12.407,0.461,0.2286,0.2372,0.2639,0.1813,2.8354,2.5766,3.1713,4,0.0667,134,2.2333,22.329,140.813,122.697,186.77
SIM020,组1,4,A,造山运动,0,5,1,0.5,4,3,3.5,2,3,2.5,3,2,2.5,3,20,2.86,3.939,3.356,3.906,5.545,23,17,17,19,13.42155,11.43506,13.3091,18.89375,6.583,5.308,1.289,10.624,0.1713,0.1974,0.2298,0.2918,2.816,2.3136,3.4257,2,0.0333,134,2.2333,20.588,226.008,72.985,237.501
SIM021,组1,1,Z,白鹈鹕(锚点),0,5,1,0.5,5,3,4.0,4,3,3.5,4,2,3.0,3,24,3.43,0.564,1.82,5.817,4.21,3,8,20,15,2.31778,7.47936,23.90518,17.30115,11.002,0.912,9.017,11.714,0.188,0.2275,0.2908,0.2807,2.5837,2.2087,2.8959,10,0.1667,188,3.1333,23.114,202.878,70.67,214.834
SIM021,组1,2,A,造山运动,0,0,0,0.0,3,3,3.0,4,3,3.5,4,4,4.0,2,23,3.29,3.82,0.518,1.164,0.817,16,3,4,3,33.24611,4.50824,10.13049,7.11049,9.592,4.645,7.06,8.478,0.2387,0.1727,0.291,0.2723,2.5282,2.0212,2.9809,20,0.3333,116,1.9333,14.771,200.595,92.652,220.958
SIM021,组1,3,C,红耳鹎,0,0,0,0.0,4,4,4.0,4,4,4.0,5,5,5.0,4,30,4.29,0.774,2.324,4.623,1.298,3,13,24,4,5.73213,17.21121,34.23728,9.6128,7.911,0.233,8.159,7.198,0.258,0.1788,0.1926,0.3245,2.6957,2.2103,3.1992,29,0.4833,209,3.4833,20.582,229.36,162.074,280.845
SIM021,组1,4,F,红果仔,0,0,0,0.0,4,4,4.0,4,3,3.5,4,4,4.0,2,25,3.57,1.118,0.933,0.789,1.629,4,4,4,6,18.20772,15.19481,12.84963,26.52985,2.062,4.503,6.223,7.896,0.2795,0.2333,0.1973,0.2715,2.9101,2.4551,3.527,24,0.4,286,4.7667,10.426,155.704,161.857,224.591
SIM022,组2,1,G,红果仔,5,5,2,1.0,3,3,3.0,4,2,3.0,3,4,3.5,4,23,3.29,5.33,2.27,5.792,2.901,22,10,20,13,15.82623,6.74025,17.19804,8.61387,2.999,4.866,12.775,4.238,0.2423,0.227,0.2896,0.2232,2.485,2.0849,3.0177,14,0.2333,295,4.9167,22.143,194.14,75.587,208.335
SIM022,组2,2,E,红耳鹎,5,0,1,0.5,4,3,3.5,3,5,4.0,3,3,3.0,4,25,3.57,3.292,5.721,4.001,0.931,15,18,20,3,11.66998,20.28066,14.18335,3.30035,0.784,10.323,5.596,1.936,0.2195,0.3178,0.2001,0.3103,2.2791,1.8195,2.8981,6,0.1,259,4.3167,19.354,150.521,104.163,183.048
SIM022,组2,3,Z,白鹈鹕(锚点),5,5,2,1.0,2,2,2.0,1,2,1.5,4,5,4.5,4,20,2.86,4.017,0.567,2.739,2.755,19,3,12,9,25.34218,3.57705,17.27962,17.38056,3.516,3.44,11.595,9.957,0.2114,0.189,0.2282,0.3061,2.4379,2.1416,2.7709,21,0.35,310,5.1667,9.047,187.513,141.699,235.031
SIM022,组2,4,B,造山运动,0,0,0,0.0,2,2,2.0,3,5,4.0,3,3,3.0,2,20,2.86,2.198,1.436,1.612,2.901,7,7,6,13,22.62985,14.78456,16.59659,29.86769,6.746,10.209,4.428,4.261,0.314,0.2051,0.2687,0.2232,2.3687,1.9784,3.0586,2,0.0333,103,1.7167,16.051,179.588,133.279,223.641
SIM023,组2,1,G,红果仔,0,5,1,0.5,2,3,2.5,1,4,2.5,3,3,3.0,4,20,2.86,3.567,2.239,1.295,6.773,19,11,4,23,23.88382,14.99183,8.67102,45.35046,1.901,4.127,11.194,11.417,0.1877,0.2035,0.3237,0.2945,2.5193,2.0803,3.1423,18,0.3,146,2.4333,14.742,210.421,82.762,226.112
SIM023,组2,2,Z,白鹈鹕(锚点),5,0,1,0.5,3,2,2.5,3,2,2.5,4,3,3.5,2,19,2.71,2.758,5.038,5.263,3.078,13,23,22,11,8.99791,16.43635,17.1704,10.0419,2.387,11.674,3.534,10.877,0.2122,0.219,0.2392,0.2798,2.3508,1.8623,3.1047,19,0.3167,232,3.8667,11.893,144.849,113.52,184.033
SIM023,组2,3,E,红耳鹎,0,0,0,0.0,3,3,3.0,2,3,2.5,4,1,2.5,3,19,2.71,3.932,4.924,4.517,5.22,12,15,19,17,15.78163,19.76316,18.12961,20.9512,2.024,2.745,2.819,9.354,0.3277,0.3283,0.2377,0.3071,2.0241,1.7478,2.6634,33,0.55,122,2.0333,21.549,127.407,85.215,153.278
SIM023,组2,4,B,造山运动,5,0,1,0.5,2,1,1.5,3,3,3.0,2,2,2.0,2,15,2.14,6.245,6.149,3.92,1.155,24,23,20,5,20.26937,19.95779,12.72313,3.74878,5.361,4.268,10.047,4.729,0.2602,0.2673,0.196,0.231,2.4755,2.0026,3.2567,2,0.0333,259,4.3167,24.17,173.99,79.39,191.246
SIM024,组2,1,Z,白鹈鹕(锚点),5,5,2,1.0,3,3,3.0,2,4,3.0,4,2,3.0,4,22,3.14,3.373,2.857,4.486,0.695,15,14,18,3,24.8663,21.06227,33.07152,5.12365,2.515,12.955,8.946,5.74,0.2249,0.2041,0.2492,0.2317,2.1637,1.7321,2.9075,20,0.3333,189,3.15,8.849,210.431,140.744,253.161
SIM024,组2,2,G,红果仔,5,0,1,0.5,3,3,3.0,4,4,4.0,3,3,3.0,4,24,3.43,2.138,5.756,4.172,0.932,12,22,20,3,9.50836,25.59874,18.5542,4.1449,9.319,5.38,3.223,10.996,0.1782,0.2616,0.2086,0.3107,2.3769,1.9619,2.6941,11,0.1833,264,4.4,10.337,97.067,125.248,158.458
SIM024,组2,3,B,造山运动,0,5,1,0.5,3,3,3.0,3,3,3.0,3,4,3.5,4,23,3.29,1.448,6.102,3.66,3.41,5,24,13,11,5.00118,21.07543,12.64111,11.77765,4.763,9.097,5.641,8.162,0.2896,0.2543,0.2815,0.31,2.1895,1.8365,2.5434,14,0.2333,204,3.4,14.422,209.182,161.366,264.189
SIM024,组2,4,E,红耳鹎,5,0,1,0.5,4,4,4.0,4,4,4.0,5,3,4.0,5,29,4.14,0.895,4.506,3.338,2.157,3,24,11,7,6.93095,34.89481,25.84973,16.70397,4.23,0.572,8.497,4.454,0.2983,0.1878,0.3035,0.3081,2.8822,2.4434,3.2568,22,0.3667,310,5.1667,22.413,179.241,68.983,192.057
SIM025,组2,1,G,红果仔,0,0,0,0.0,4,4,4.0,3,4,3.5,3,3,3.0,3,24,3.43,1.304,2.146,3.347,2.666,7,7,11,14,11.67336,19.21091,29.96222,23.86593,9.808,10.733,7.182,10.297,0.1863,0.3066,0.3043,0.1904,2.3289,1.9387,2.9456,25,0.4167,166,2.7667,10.9,229.984,105.994,253.234
SIM025,组2,2,Z,白鹈鹕(锚点),0,5,1,0.5,3,2,2.5,3,3,3.0,3,3,3.0,2,19,2.71,2.295,4.916,2.039,1.91,12,24,9,6,9.94003,21.29202,8.83125,8.27253,3.032,8.466,4.959,11.965,0.1913,0.2048,0.2266,0.3183,2.5052,2.0194,3.209,25,0.4167,129,2.15,10.025,127.31,169.949,212.345
SIM025,组2,3,B,造山运动,5,5,2,1.0,5,3,4.0,2,2,2.0,3,5,4.0,3,23,3.29,3.115,4.573,6.898,4.727,11,18,23,18,14.87007,21.83012,32.92896,22.56527,5.28,9.064,0.906,0.721,0.2832,0.2541,0.2999,0.2626,3.0419,2.7857,3.7227,6,0.1,166,2.7667,19.208,244.282,145.936,284.554
SIM025,组2,4,E,红耳鹎,5,0,1,0.5,3,4,3.5,3,5,4.0,3,4,3.5,4,26,3.71,4.785,6.435,4.621,1.156,19,22,15,4,22.85656,30.73814,22.07318,5.52188,12.016,2.898,0.497,5.063,0.2518,0.2925,0.3081,0.289,2.1761,1.6906,2.8386,16,0.2667,104,1.7333,13.953,149.97,66.956,164.238
SIM026,组2,1,B,造山运动,0,0,0,0.0,2,3,2.5,2,4,3.0,4,3,3.5,3,21,3.0,0.568,1.206,2.066,4.056,3,4,10,17,5.82448,12.36677,21.18553,41.59172,8.468,11.764,9.107,7.869,0.1893,0.3015,0.2066,0.2386,2.6974,2.1643,3.1454,5,0.0833,308,5.1333,20.998,181.62,95.574,205.232
SIM026,组2,2,E,红耳鹎,5,5,2,1.0,2,1,1.5,2,3,2.5,2,2,2.0,4,16,2.29,1.357,1.439,4.044,1.746,6,5,15,8,8.87957,9.41614,26.46204,11.42501,0.197,2.439,1.324,9.916,0.2262,0.2878,0.2696,0.2182,2.378,1.9813,2.8591,20,0.3333,197,3.2833,26.755,159.363,68.192,173.339
SIM026,组2,3,Z,白鹈鹕(锚点),5,5,2,1.0,4,2,3.0,4,4,4.0,3,3,3.0,4,24,3.43,5.372,5.209,5.855,2.34,20,17,19,13,15.6811,15.2053,17.091,6.83056,9.949,7.28,10.693,8.821,0.2686,0.3064,0.3082,0.18,2.4343,1.8942,3.2037,21,0.35,131,2.1833,20.874,222.955,121.372,253.85
SIM026,组2,4,G,红果仔,5,5,2,1.0,3,4,3.5,2,4,3.0,3,3,3.0,3,22,3.14,2.267,6.939,4.042,1.047,9,22,19,5,13.17643,40.3314,23.49323,6.08546,5.705,11.081,2.802,11.709,0.2519,0.3154,0.2127,0.2094,2.5989,2.2207,3.2542,30,0.5,269,4.4833,21.302,102.56,81.154,130.784
SIM027,组2,1,Z,白鹈鹕(锚点),5,0,1,0.5,3,2,2.5,2,4,3.0,1,4,2.5,4,20,2.86,1.883,3.391,2.419,5.545,10,16,9,21,12.73929,22.94154,16.36555,37.51426,6.2,4.578,7.61,10.824,0.1883,0.2119,0.2688,0.264,2.705,2.3644,3.4074,30,0.5,207,3.45,17.87,159.707,189.494,247.819
SIM027,组2,2,G,红果仔,0,0,0,0.0,4,4,4.0,3,3,3.0,3,2,2.5,3,22,3.14,6.423,2.335,2.432,2.152,22,10,12,7,29.83081,10.84461,11.29512,9.99469,2.673,5.295,2.131,4.751,0.292,0.2335,0.2027,0.3074,2.4776,1.8782,2.7887,6,0.1,297,4.95,18.317,193.623,176.141,261.755
SIM027,组2,3,E,红耳鹎,0,0,0,0.0,3,3,3.0,4,3,3.5,4,3,3.5,3,23,3.29,3.839,7.134,4.623,3.775,19,22,16,17,16.19554,30.09612,19.503,15.92555,8.716,7.589,4.832,11.419,0.2021,0.3243,0.2889,0.2221,2.3599,1.9707,2.6932,8,0.1333,189,3.15,14.143,175.446,159.535,237.135
SIM027,组2,4,B,造山运动,0,5,1,0.5,5,3,4.0,3,3,3.0,4,4,4.0,2,24,3.43,6.563,3.647,1.726,3.057,20,20,7,14,35.67129,19.82221,9.38117,16.61544,12.627,5.602,11.182,4.77,0.3281,0.1823,0.2466,0.2184,2.8223,2.5089,3.6085,5,0.0833,127,2.1167,20.892,244.093,128.654,275.923
SIM028,组2,1,Z,白鹈鹕(锚点),0,5,1,0.5,4,5,4.5,3,3,3.0,4,3,3.5,4,26,3.71,3.228,3.736,5.574,3.258,15,15,17,16,13.21561,15.29539,22.82026,13.33843,12.359,1.852,1.454,3.99,0.2152,0.2491,0.3279,0.2036,2.0858,1.7132,2.6275,36,0.6,237,3.95,19.547,140.109,128.015,189.785
SIM028,组2,2,G,红果仔,0,5,1,0.5,5,3,4.0,3,3,3.0,4,5,4.5,3,26,3.71,2.461,2.947,1.098,2.44,11,14,4,12,18.35545,21.98029,8.18947,18.19882,4.341,1.919,10.356,1.622,0.2237,0.2105,0.2745,0.2033,2.4866,1.9845,3.154,13,0.2167,145,2.4167,9.628,187.976,182.719,262.147
SIM028,组2,3,E,红耳鹎,0,5,1,0.5,2,4,3.0,3,5,4.0,4,4,4.0,3,25,3.57,3.284,3.376,5.075,6.141,10,16,20,20,9.37441,9.63703,14.48695,17.52992,1.794,0.776,12.604,5.04,0.3284,0.211,0.2538,0.307,2.9787,2.4824,3.6533,4,0.0667,289,4.8167,24.467,183.339,93.314,205.72
SIM028,组2,4,B,造山运动,0,5,1,0.5,4,2,3.0,3,4,3.5,4,3,3.5,5,25,3.57,3.596,3.963,3.965,2.045,18,14,14,8,12.91561,14.23375,14.24093,7.34495,0.791,10.435,10.906,8.224,0.1998,0.2831,0.2832,0.2556,2.4218,2.1634,2.9815,5,0.0833,301,5.0167,13.675,143.971,104.24,177.746
SIM029,组2,1,B,造山运动,0,0,0,0.0,2,3,2.5,4,5,4.5,3,4,3.5,4,25,3.57,4.02,3.135,4.966,3.057,13,10,19,10,21.51753,16.78046,26.58111,16.36296,5.133,3.057,2.377,9.63,0.3092,0.3135,0.2614,0.3057,2.3763,1.8055,3.0492,12,0.2,199,3.3167,9.553,177.561,69.875,190.815
SIM029,组2,2,Z,白鹈鹕(锚点),0,5,1,0.5,3,3,3.0,2,4,3.0,4,5,4.5,2,23,3.29,2.216,3.9,2.004,2.556,13,13,7,9,11.96602,21.05934,10.82126,13.80197,12.193,8.125,3.809,10.036,0.1705,0.3,0.2863,0.284,2.4606,1.9709,3.1224,12,0.2,154,2.5667,20.236,115.74,95.595,150.114
SIM029,组2,3,G,红果仔,0,5,1,0.5,3,3,3.0,5,1,3.0,3,1,2.0,3,19,2.71,1.493,4.283,5.11,4.351,5,22,21,15,5.84407,16.76501,20.00215,17.03119,11.364,10.156,1.19,4.177,0.2986,0.1947,0.2433,0.2901,2.4498,2.0602,2.8193,10,0.1667,227,3.7833,11.137,186.044,165.002,248.673
SIM029,组2,4,E,红耳鹎,0,0,0,0.0,3,2,2.5,3,4,3.5,2,2,2.0,1,17,2.43,5.334,1.528,4.698,2.579,19,8,20,9,19.86186,5.68971,17.49363,9.60325,8.317,6.772,6.652,1.088,0.2807,0.191,0.2349,0.2866,2.4395,2.0161,2.7512,28,0.4667,117,1.95,14.434,219.735,88.774,236.99
SIM030,组2,1,E,红耳鹎,0,5,1,0.5,4,4,4.0,2,4,3.0,4,3,3.5,4,25,3.57,1.327,6.629,3.602,1.907,5,24,11,10,7.4429,37.18085,20.20296,10.69601,9.486,6.292,0.932,9.111,0.2654,0.2762,0.3275,0.1907,2.3808,2.1262,3.1716,34,0.5667,253,4.2167,9.871,95.934,130.196,161.723
SIM030,组2,2,B,造山运动,5,0,1,0.5,3,5,4.0,5,4,4.5,4,3,3.5,5,29,4.14,1.808,3.997,1.31,2.456,8,22,7,9,17.7273,39.19029,12.84445,24.0809,4.827,2.114,8.0,9.609,0.226,0.1817,0.1871,0.2729,3.0316,2.5206,3.3944,10,0.1667,148,2.4667,16.002,123.488,77.122,145.592
SIM030,组2,3,G,红果仔,5,5,2,1.0,4,3,3.5,5,4,4.5,2,3,2.5,5,26,3.71,1.264,0.762,5.317,7.731,5,4,24,24,4.50037,2.71304,18.93076,27.52562,5.1,12.291,2.074,11.647,0.2528,0.1905,0.2215,0.3221,2.7073,2.2049,3.5116,34,0.5667,274,4.5667,9.193,165.108,72.659,180.389
SIM030,组2,4,Z,白鹈鹕(锚点),0,5,1,0.5,3,3,3.0,3,3,3.0,3,5,4.0,3,23,3.29,2.12,3.944,3.818,1.235,7,12,16,7,13.23409,24.6204,23.83385,7.70948,6.755,10.844,1.606,8.178,0.3029,0.3287,0.2386,0.1764,2.2723,2.0035,3.0815,36,0.6,230,3.8333,17.537,189.101,133.302,231.362
SIM031,组2,1,B,造山运动,5,0,1,0.5,2,3,2.5,4,4,4.0,3,4,3.5,2,22,3.14,1.561,1.775,0.921,0.925,8,6,3,3,18.40701,20.93046,10.86025,10.90742,6.553,10.942,8.11,11.301,0.1951,0.2958,0.307,0.3083,2.8593,2.3706,3.2805,8,0.1333,306,5.1,11.192,137.002,121.993,183.444
SIM031,组2,2,Z,白鹈鹕(锚点),5,5,2,1.0,3,5,4.0,3,3,3.0,4,3,3.5,1,22,3.14,5.179,3.597,4.083,3.265,21,20,18,11,15.72714,10.92306,12.3989,9.91487,4.848,6.609,4.764,0.922,0.2466,0.1799,0.2268,0.2968,2.5546,2.127,2.882,36,0.6,253,4.2167,17.821,130.682,75.949,151.149
SIM031,组2,3,E,红耳鹎,5,5,2,1.0,3,2,2.5,5,3,4.0,4,3,3.5,3,23,3.29,1.839,2.847,6.116,2.584,10,11,24,8,9.70835,15.02974,32.28727,13.64132,6.583,6.171,6.712,6.836,0.1839,0.2588,0.2548,0.323,2.5247,1.9597,2.9525,29,0.4833,236,3.9333,12.426,199.852,99.139,223.091
SIM031,组2,4,G,红果仔,5,5,2,1.0,3,1,2.0,4,2,3.0,2,3,2.5,3,18,2.57,1.907,0.674,2.077,3.73,11,3,8,16,14.46626,5.11288,15.75586,28.2953,11.17,11.462,11.596,10.346,0.1734,0.2247,0.2596,0.2331,2.3788,1.9138,2.8519,0,0.0,297,4.95,10.578,121.632,79.994,145.579
SIM032,组2,1,Z,白鹈鹕(锚点),5,0,1,0.5,5,3,4.0,5,5,5.0,4,2,3.0,3,27,3.86,5.679,4.404,2.464,3.343,19,19,11,17,17.87966,13.86548,7.75761,10.52504,12.398,4.093,2.236,6.09,0.2989,0.2318,0.224,0.1966,3.0363,2.6059,3.398,4,0.0667,186,3.1,14.099,167.727,123.761,208.445
SIM032,组2,2,G,红果仔,5,5,2,1.0,1,4,2.5,5,4,4.5,5,4,4.5,5,28,4.0,3.495,5.831,4.274,2.236,15,20,16,9,19.03409,31.75616,23.27659,12.17746,7.015,3.402,3.431,10.353,0.233,0.2916,0.2671,0.2484,2.8603,2.2657,3.5972,14,0.2333,225,3.75,12.321,182.713,104.45,210.461
SIM032,组2,3,B,造山运动,0,0,0,0.0,5,5,5.0,4,2,3.0,1,4,2.5,4,25,3.57,7.071,5.485,5.518,1.565,24,18,17,6,18.21879,14.13238,14.2174,4.0323,0.256,12.907,2.278,5.263,0.2946,0.3047,0.3246,0.2608,2.9696,2.5379,3.6138,17,0.2833,292,4.8667,13.679,130.724,120.595,177.854
SIM032,组2,4,E,红耳鹎,5,5,2,1.0,5,4,4.5,3,4,3.5,5,4,4.5,5,30,4.29,1.276,5.911,0.763,4.877,4,24,4,19,4.9958,23.14276,2.9873,19.09444,11.548,9.822,8.736,8.782,0.319,0.2463,0.1908,0.2567,2.7505,2.3159,3.1508,19,0.3167,277,4.6167,24.408,134.631,147.183,199.47
SIM033,组2,1,Z,白鹈鹕(锚点),0,5,1,0.5,4,4,4.0,2,3,2.5,2,4,3.0,4,23,3.29,5.263,1.196,1.943,4.002,21,4,7,15,21.00892,4.77421,7.7561,15.97524,11.797,8.155,0.222,8.554,0.2506,0.299,0.2776,0.2668,2.0815,1.7041,2.6818,13,0.2167,99,1.65,9.192,239.479,144.896,279.902
SIM033,组2,2,B,造山运动,5,0,1,0.5,3,3,3.0,3,3,3.0,2,2,2.0,4,20,2.86,1.777,5.619,1.615,1.454,6,20,8,8,11.07161,35.0092,10.06226,9.05915,4.636,11.907,0.242,5.276,0.2962,0.2809,0.2019,0.1817,2.6001,2.0679,3.3835,12,0.2,224,3.7333,23.569,112.577,178.281,210.851
SIM033,组2,3,G,红果仔,5,0,1,0.5,2,3,2.5,4,3,3.5,4,2,3.0,2,20,2.86,3.914,4.297,5.238,3.355,16,14,24,13,16.55982,18.18026,22.16156,14.19474,10.449,9.955,3.613,3.362,0.2446,0.3069,0.2183,0.2581,2.416,1.9174,2.942,10,0.1667,262,4.3667,21.085,192.814,180.332,264.002
SIM033,组2,4,E,红耳鹎,0,5,1,0.5,3,3,3.0,2,2,2.0,4,2,3.0,3,19,2.71,2.91,6.62,1.43,4.588,9,21,8,15,14.13159,32.14815,6.94439,22.28032,10.679,8.849,8.604,11.113,0.3233,0.3152,0.1787,0.3059,2.3203,1.8726,2.8324,32,0.5333,210,3.5,25.337,201.26,131.72,240.533
SIM034,组2,1,B,造山运动,5,0,1,0.5,3,2,2.5,2,3,2.5,1,3,2.0,3,17,2.43,4.02,5.33,2.831,3.786,13,18,9,15,20.76003,27.52512,14.61982,19.55162,5.871,3.277,8.228,3.341,0.3092,0.2961,0.3146,0.2524,1.9018,1.5552,2.2176,28,0.4667,220,3.6667,12.747,159.403,111.944,194.784
SIM034,组2,2,Z,白鹈鹕(锚点),5,0,1,0.5,2,5,3.5,3,2,2.5,3,2,2.5,4,21,3.0,2.498,2.598,4.444,1.233,8,9,20,7,20.86208,21.69723,37.11412,10.29741,12.1,6.764,5.963,2.024,0.3123,0.2887,0.2222,0.1761,2.3853,1.9211,2.831,15,0.25,129,2.15,24.76,221.336,183.728,287.655
SIM034,组2,3,E,红耳鹎,5,0,1,0.5,5,4,4.5,5,3,4.0,3,2,2.5,3,25,3.57,3.347,2.005,3.774,2.772,11,11,21,13,20.94718,12.54828,23.61956,17.34855,11.441,9.515,4.508,11.819,0.3043,0.1823,0.1797,0.2132,2.6033,2.2608,3.122,2,0.0333,149,2.4833,24.18,201.79,113.047,231.298
SIM034,组2,4,G,红果仔,5,0,1,0.5,1,2,1.5,5,2,3.5,3,3,3.0,3,19,2.71,0.88,3.444,3.156,6.603,4,13,17,24,3.35071,13.11347,12.01687,25.14176,0.476,6.986,11.238,2.325,0.22,0.2649,0.1856,0.2751,2.6407,2.099,3.0915,2,0.0333,128,2.1333,11.847,199.13,100.775,223.178
SIM035,组2,1,B,造山运动,5,0,1,0.5,3,2,2.5,4,2,3.0,3,4,3.5,3,21,3.0,5.002,1.289,1.939,1.809,22,5,8,7,45.23264,11.65631,17.5342,16.35863,10.195,12.222,11.249,7.577,0.2274,0.2578,0.2424,0.2584,2.3298,1.8115,2.8705,25,0.4167,225,3.75,8.073,183.351,65.47,194.689
SIM035,组2,2,Z,白鹈鹕(锚点),5,5,2,1.0,3,3,3.0,4,3,3.5,3,5,4.0,2,23,3.29,6.63,6.215,3.414,0.857,21,19,20,3,32.1112,30.10123,16.53509,4.15072,8.023,8.742,10.883,2.762,0.3157,0.3271,0.1707,0.2857,2.8589,2.4068,3.5001,4,0.0667,239,3.9833,24.037,128.208,172.894,215.244
SIM035,组2,3,E,红耳鹎,0,5,1,0.5,2,3,2.5,2,4,3.0,2,3,2.5,4,20,2.86,4.299,1.048,4.578,1.635,17,4,19,5,21.23738,5.1772,22.61567,8.07702,8.58,5.588,4.265,0.857,0.2529,0.262,0.2409,0.327,1.9803,1.6509,2.3929,14,0.2333,297,4.95,17.889,223.792,184.386,289.967
SIM035,组2,4,G,红果仔,5,0,1,0.5,3,3,3.0,3,1,2.0,4,2,3.0,4,20,2.86,3.312,3.88,5.225,0.839,11,22,18,4,19.94921,23.37045,31.4718,5.05356,6.091,11.172,8.413,2.124,0.3011,0.1764,0.2903,0.2097,2.4629,2.1219,2.9522,29,0.4833,106,1.7667,8.074,142.713,137.122,197.913
SIM036,组2,1,Z,白鹈鹕(锚点),5,0,1,0.5,2,3,2.5,3,2,2.5,2,1,1.5,3,16,2.29,3.573,2.052,4.785,1.276,20,11,18,5,19.08217,10.95903,25.55505,6.81468,9.688,9.063,3.93,8.758,0.1787,0.1865,0.2658,0.2552,2.7901,2.5284,3.4791,7,0.1167,97,1.6167,11.056,182.596,107.623,211.953
SIM036,组2,2,E,红耳鹎,0,0,0,0.0,2,4,3.0,2,4,3.0,2,2,2.0,2,18,2.57,4.91,4.054,4.748,5.052,24,13,15,16,13.06103,10.784,12.6301,13.43877,3.143,12.301,11.125,3.769,0.2046,0.3118,0.3165,0.3157,2.4565,2.0736,2.8702,14,0.2333,167,2.7833,10.117,184.453,65.028,195.58
